account_id,account_type,bot_type,is_bot,followers_count,friends_count,statuses_count,listed_count,favourites_count,account_age_days,tweets_per_day,follower_friend_ratio,timing_regularity,burst_score,url_ratio,retweet_ratio,hashtag_density,mention_ratio,linguistic_consistency,engagement_rate,network_clustering,profile_completeness,name_entropy,coordinated_score,has_profile_image,has_geo_enabled,has_url_in_profile,is_verified
ACC01500,genuine,genuine,0,239,690,51800,40,5658,3039,17.0451,0.3459,0.371,0.0717,0.368,0.3209,0.1413,0.149,0.445,0.3123,0.0847,0.5,3.2082,0.2717,1,1,0,0
ACC01501,genuine,genuine,0,3442,1165,57998,76,553,2354,24.6381,2.952,0.3167,0.3996,0.3968,0.7126,0.2796,0.3781,0.1438,0.3788,0.3161,0.55,4.229,0.0582,1,0,1,0
ACC01502,spambot_1,spambot1,1,29,50,359,8,3,1774,0.2024,0.5686,0.9764,0.8654,0.8749,0.781,0.8913,0.4268,0.4769,0.0191,0.8025,0.3,3.9842,0.7282,1,0,0,0
ACC01503,genuine,genuine,0,4641,4606,5195,172,1041,2075,2.5036,1.0074,0.227,0.2321,0.2771,0.4992,0.4816,0.0917,0.2317,0.1728,0.0566,0.55,3.8973,0.0576,1,0,1,0
ACC01504,genuine,genuine,0,1591,212,12554,7,2030,3638,3.4508,7.4695,0.0174,0.4694,0.5682,0.1581,0.1492,0.4345,0.2389,0.4613,0.1772,0.5,3.3176,0.11,1,1,0,0
ACC01505,genuine,genuine,0,5071,439,1778,292,2001,2327,0.7641,11.525,0.0788,0.1056,0.1359,0.2966,0.2209,0.1014,0.4615,0.3542,0.1097,0.75,3.8478,0.1166,1,1,1,0
ACC01506,spambot_3,spambot3,1,2874,332,11759,3,13275,1339,8.7819,8.6306,0.5762,0.4607,0.5958,0.6319,0.5096,0.7102,0.4488,0.0276,0.8534,0.5,3.0072,0.9125,1,1,0,0
ACC01507,spambot_3,spambot3,1,373,493,2268,4,4247,1144,1.9825,0.7551,0.589,0.4005,0.6017,0.4467,0.7798,0.5966,0.382,0.0281,0.8135,0.0,3.7852,0.4711,0,0,0,0
ACC01508,genuine,genuine,0,1144,1761,17051,32,370,2797,6.0962,0.6493,0.2406,0.2199,0.232,0.0591,0.0787,0.2596,0.0828,0.0822,0.1449,0.3,3.758,0.0456,1,0,0,0
ACC01509,genuine,genuine,0,3858,1019,6798,50,1034,1935,3.5132,3.7824,0.2512,0.2841,0.0595,0.0789,0.322,0.2222,0.4406,0.0255,0.3612,0.75,3.9516,0.063,1,1,1,0
ACC01510,genuine,genuine,0,415,1233,8610,39,2824,1300,6.6231,0.3363,0.1681,0.148,0.3875,0.3157,0.1415,0.3789,0.279,0.5635,0.468,0.55,4.0189,0.0597,1,0,1,0
ACC01511,spambot_3,spambot3,1,3015,4603,2362,14,81,1617,1.4607,0.6549,0.6899,0.2738,0.5222,0.5836,0.7641,0.3696,0.7078,0.0594,0.6213,0.3,4.2572,0.7769,1,0,0,0
ACC01512,spambot_3,spambot3,1,336,390,1425,8,1887,1528,0.9326,0.8593,0.7591,0.7948,0.7172,0.4119,0.7636,0.6399,0.4581,0.0132,0.5772,0.5,3.1105,0.4155,1,1,0,0
ACC01513,genuine,genuine,0,273,800,3346,2,965,1246,2.6854,0.3408,0.0566,0.0879,0.2352,0.2057,0.1671,0.2233,0.1094,3.0204,0.1083,0.5,2.7268,0.2081,1,1,0,0
ACC01514,genuine,genuine,0,3147,190,1502,65,1083,1282,1.1716,16.4764,0.4084,0.2592,0.3033,0.3547,0.1713,0.0783,0.2278,1.0595,0.0858,0.3,2.8257,0.0517,1,0,0,0
ACC01515,genuine,genuine,0,618,1121,5078,2,228,2935,1.7302,0.5508,0.1767,0.2128,0.1256,0.6785,0.3677,0.423,0.2398,0.197,0.1891,0.55,3.5072,0.0323,1,0,1,0
ACC01516,genuine,genuine,0,3911,328,17314,16,2428,2369,7.3086,11.8875,0.2655,0.0682,0.2274,0.2864,0.2786,0.325,0.1628,0.5092,0.3954,0.55,3.045,0.0428,1,0,1,0
ACC01517,genuine,genuine,0,691,272,8115,104,1037,3286,2.4696,2.5311,0.0578,0.3469,0.5856,0.288,0.404,0.2219,0.3557,0.1616,0.407,0.55,3.3713,0.2824,1,0,1,0
ACC01518,genuine,genuine,0,2518,196,6760,96,863,1773,3.8127,12.7817,0.0741,0.1553,0.5903,0.4236,0.3549,0.2131,0.3174,0.2728,0.2543,0.75,3.7616,0.252,1,1,1,0
ACC01519,genuine,genuine,0,1017,249,6153,573,1870,2570,2.3942,4.068,0.1643,0.5652,0.101,0.1438,0.0824,0.0692,0.1696,0.0932,0.2854,0.55,2.8078,0.0405,1,0,1,0
ACC01520,genuine,genuine,0,3787,164,4921,53,24302,1831,2.6876,22.9515,0.1065,0.2132,0.4913,0.2015,0.4546,0.4289,0.1639,0.4046,0.1368,0.3,3.7814,0.1447,1,0,0,0
ACC01521,genuine,genuine,0,1089,750,7612,7,1599,2708,2.8109,1.4501,0.1377,0.2559,0.158,0.547,0.2485,0.1597,0.2842,0.086,0.4546,0.3,3.2778,0.0344,1,0,0,0
ACC01522,genuine,genuine,0,4932,273,16367,570,4411,1256,13.0311,18.0,0.1455,0.1115,0.3915,0.6498,0.1422,0.4076,0.2544,0.0896,0.3305,0.75,2.7402,0.0988,1,1,1,0
ACC01523,genuine,genuine,0,5603,137,1997,102,1012,2548,0.7838,40.6014,0.1164,0.234,0.3545,0.7026,0.2041,0.1749,0.0609,2.6591,0.3627,0.75,3.8307,0.0173,1,1,1,0
ACC01524,genuine,genuine,0,7715,175,40367,471,7415,2431,16.6051,43.8352,0.3084,0.2974,0.3149,0.031,0.2074,0.2615,0.2781,0.1033,0.1032,0.3,4.0013,0.0226,1,0,0,0
ACC01525,spambot_3,spambot3,1,1491,3037,1321,23,316,2541,0.5199,0.4908,0.358,0.7461,0.8125,0.9177,0.4577,0.2716,0.5245,0.0041,0.8023,0.55,3.3534,0.7872,1,0,1,0
ACC01526,genuine,genuine,0,1222,41,2367,12,1494,2231,1.061,29.0952,0.3944,0.4366,0.3181,0.1714,0.1219,0.2718,0.1862,2.2432,0.1258,0.3,3.181,0.0448,1,0,0,0
ACC01527,genuine,genuine,0,2161,251,13039,3,220,2527,5.1599,8.5754,0.234,0.2434,0.3307,0.5207,0.1607,0.0962,0.2121,0.0827,0.2759,0.75,3.4421,0.1466,1,1,1,0
ACC01528,genuine,genuine,0,9427,468,22624,61,3001,2477,9.1336,20.1002,0.0442,0.2234,0.5196,0.0457,0.2667,0.2203,0.1134,0.0323,0.4605,0.5,3.4636,0.0101,1,1,0,0
ACC01529,genuine,genuine,0,2174,1805,46390,15,1012,3433,13.513,1.2038,0.1429,0.1628,0.4175,0.0754,0.1696,0.2487,0.0729,0.2793,0.4931,0.75,3.0471,0.2716,1,1,1,0
ACC01530,spambot_2,spambot2,1,155,161,4497,1,1053,2309,1.9476,0.9568,0.6438,0.9124,0.6977,0.4744,0.7702,0.8299,0.9499,0.0154,0.8729,0.55,3.3936,0.771,1,0,1,0
ACC01531,genuine,genuine,0,113,688,29689,15,4430,2905,10.22,0.164,0.175,0.4145,0.4733,0.5445,0.3689,0.3462,0.0482,0.3542,0.2824,0.55,3.8153,0.0122,1,0,1,0
ACC01532,genuine,genuine,0,4853,454,24092,130,5447,1431,16.8358,10.6659,0.3519,0.3994,0.1897,0.2006,0.3973,0.1236,0.5243,0.2486,0.5154,0.5,2.4571,0.228,1,1,0,0
ACC01533,spambot_2,spambot2,1,70,226,3019,6,324,1216,2.4827,0.3084,0.5044,0.5243,0.4648,0.6581,0.8204,0.9335,0.9297,0.0268,0.8996,0.3,3.1883,0.7138,1,0,0,0
ACC01534,genuine,genuine,0,1362,1707,12425,254,1060,2668,4.657,0.7974,0.5745,0.4228,0.4089,0.1654,0.0605,0.3354,0.4949,1.4724,0.3646,0.5,3.2991,0.0622,1,1,0,0
ACC01535,genuine,genuine,0,3499,1319,9384,10,1961,2676,3.5067,2.6508,0.2656,0.3692,0.0743,0.2477,0.3716,0.2863,0.0719,0.0326,0.8424,0.55,3.1551,0.2051,1,0,1,0
ACC01536,genuine,genuine,0,1193,1643,17189,83,1020,1459,11.7814,0.7257,0.4528,0.4001,0.2068,0.3881,0.2033,0.1082,0.1409,0.1716,0.2831,0.3,2.9366,0.0831,1,0,0,0
ACC01537,genuine,genuine,0,1406,185,6744,58,683,1634,4.1273,7.5591,0.3135,0.3083,0.0951,0.1696,0.2759,0.0846,0.4299,0.0338,0.1104,0.55,3.5583,0.086,1,0,1,0
ACC01538,spambot_1,spambot1,1,71,46,9487,0,3,675,14.0548,1.5106,0.6439,0.7731,0.7324,0.9232,0.8511,0.3064,0.6932,0.0387,0.2966,0.55,4.2674,0.9076,1,0,1,0
ACC01539,spambot_1,spambot1,1,7,826,3569,0,8,1447,2.4665,0.0085,0.781,0.7114,0.9812,0.6795,0.9004,0.5707,0.8272,0.0139,0.7982,0.55,4.7883,0.6509,1,0,1,0
ACC01540,genuine,genuine,0,1086,2366,4352,21,1193,1756,2.4784,0.4588,0.3368,0.3065,0.3671,0.6659,0.4144,0.118,0.1168,0.3462,0.1144,0.75,3.5979,0.1588,1,1,1,0
ACC01541,genuine,genuine,0,2945,512,3719,10,8830,2518,1.477,5.7407,0.2548,0.2943,0.527,0.5952,0.1698,0.1399,0.1516,0.1227,0.3917,0.75,3.5467,0.0349,1,1,1,0
ACC01542,genuine,genuine,0,81,316,2505,36,210,1943,1.2892,0.2555,0.0919,0.203,0.4205,0.2132,0.1857,0.0972,0.3555,0.6794,0.3586,0.3,3.7825,0.0358,1,0,0,0
ACC01543,genuine,genuine,0,515,806,2771,189,5530,1845,1.5019,0.6382,0.4274,0.3422,0.4185,0.3479,0.212,0.0352,0.3757,0.4444,0.3796,0.5,3.1973,0.1092,1,1,0,0
ACC01544,genuine,genuine,0,604,52,9769,130,20464,2596,3.7631,11.3962,0.26,0.297,0.236,0.3283,0.2997,0.6864,0.11,0.3064,0.1474,0.3,3.7312,0.2203,1,0,0,0
ACC01545,spambot_3,spambot3,1,27100,586,3444,16,1196,2082,1.6542,46.167,0.3373,0.5676,0.2513,0.4632,0.3298,0.3162,0.592,0.1089,0.4822,0.0,2.8886,0.8553,0,0,0,0
ACC01546,genuine,genuine,0,292,253,8219,41,190,1713,4.798,1.1496,0.1361,0.2295,0.2733,0.361,0.0929,0.3959,0.3669,0.7995,0.6047,0.5,2.9469,0.1013,1,1,0,0
ACC01547,genuine,genuine,0,6962,152,1261,1,2065,2944,0.4283,45.5033,0.3092,0.427,0.0942,0.1219,0.3028,0.1893,0.2215,0.128,0.4305,0.75,3.1888,0.0422,1,1,1,0
ACC01548,genuine,genuine,0,1764,504,4840,169,256,2199,2.201,3.4931,0.2178,0.0524,0.1623,0.2049,0.1165,0.2794,0.6224,0.3011,0.4356,0.75,2.8353,0.0872,1,1,1,0
ACC01549,spambot_1,spambot1,1,19,147,592,0,27,958,0.618,0.1284,0.8605,0.9441,0.8955,0.677,0.8758,0.556,0.9015,0.0332,0.8723,0.0,3.4822,0.9041,0,0,0,0
ACC01550,spambot_1,spambot1,1,25,373,5831,3,43,1492,3.9082,0.0668,0.9286,0.8356,0.9422,0.7768,0.6367,0.2128,0.958,0.0085,0.9728,0.25,4.6216,0.8242,0,0,1,0
ACC01551,spambot_3,spambot3,1,940,934,8315,5,668,1454,5.7187,1.0053,0.6816,0.3974,0.6838,0.2577,0.6954,0.6905,0.6004,0.0486,0.5565,0.75,3.1176,0.5059,1,1,1,0
ACC01552,genuine,genuine,0,3112,108,6006,12,800,1473,4.0774,28.5505,0.373,0.138,0.0719,0.4442,0.1256,0.3844,0.1195,0.0949,0.0911,0.3,3.3977,0.0817,1,0,0,0
ACC01553,spambot_3,spambot3,1,12216,1493,4709,2,7292,2317,2.0324,8.1767,0.5098,0.1828,0.4164,0.4007,0.5352,0.5227,0.6953,0.1056,0.5038,0.3,2.7924,0.5491,1,0,0,0
ACC01554,spambot_1,spambot1,1,37,13,4805,0,3,1369,3.5099,2.6429,0.7431,0.9083,0.9898,0.7859,0.923,0.6014,0.7733,0.0416,0.9007,0.3,4.6728,0.6492,1,0,0,0
ACC01555,genuine,genuine,0,2291,154,2478,8,778,3435,0.7214,14.7806,0.2244,0.5611,0.2407,0.4712,0.1911,0.2167,0.0816,0.0268,0.3736,0.5,3.668,0.0507,1,1,0,0
ACC01556,spambot_1,spambot1,1,170,350,3144,0,11,1012,3.1067,0.4843,0.9435,0.9152,0.9667,0.6076,0.5342,0.8695,0.9817,0.1233,0.5283,0.0,3.6199,0.8538,0,0,0,0
ACC01557,genuine,genuine,0,524,119,7266,94,783,3039,2.3909,4.3667,0.3362,0.4192,0.267,0.2513,0.3651,0.3622,0.4177,2.1405,0.2589,0.5,2.858,0.1617,1,1,0,0
ACC01558,genuine,genuine,0,812,762,54147,35,40102,1839,29.4437,1.0642,0.3317,0.2544,0.2553,0.0754,0.3095,0.155,0.2137,0.2567,0.1034,0.5,4.6223,0.001,1,1,0,0
ACC01559,spambot_1,spambot1,1,29,45,5736,1,1,1616,3.5495,0.6304,0.8496,0.8728,0.8537,0.7887,0.6604,0.599,0.8308,0.0415,0.5623,0.0,4.2615,0.6373,0,0,0,0
ACC01560,genuine,genuine,0,279,153,2986,139,10129,2689,1.1104,1.8117,0.0818,0.6473,0.0204,0.3783,0.1538,0.1293,0.0314,0.1929,0.3732,0.75,2.9684,0.0859,1,1,1,0
ACC01561,genuine,genuine,0,2077,678,1798,138,480,2740,0.6562,3.0589,0.3328,0.6137,0.2021,0.3632,0.1364,0.2502,0.1887,0.3845,0.2259,0.3,3.2974,0.19,1,0,0,0
ACC01562,genuine,genuine,0,2338,266,16922,158,9511,1454,11.6382,8.7566,0.1694,0.3833,0.2817,0.0695,0.0938,0.5228,0.0164,0.2597,0.3836,0.5,2.6571,0.1421,1,1,0,0
ACC01563,genuine,genuine,0,481,323,26478,56,7780,3752,7.057,1.4846,0.2521,0.301,0.53,0.4798,0.2175,0.3157,0.2674,0.5259,0.5197,0.3,4.3876,0.0009,1,0,0,0
ACC01564,spambot_2,spambot2,1,139,488,1199,0,1213,1672,0.7171,0.2843,0.6548,0.5947,0.7117,0.7568,0.6639,0.8351,0.797,0.0772,0.8904,0.5,3.9262,0.9153,1,1,0,0
ACC01565,spambot_1,spambot1,1,98,36,2349,0,9,1153,2.0373,2.6486,0.9269,0.8727,0.789,0.7709,0.9607,0.4813,0.9478,0.3294,0.9623,0.25,4.6228,0.8755,0,0,1,0
ACC01566,spambot_1,spambot1,1,52,993,13449,0,3,2233,6.0228,0.0523,0.8155,0.8988,0.9375,0.4051,0.7865,0.5899,0.7305,0.0918,0.714,0.0,4.3707,0.6784,0,0,0,0
ACC01567,spambot_1,spambot1,1,113,78,13536,0,52,1508,8.9761,1.4304,0.9532,0.7926,0.9048,0.5128,0.835,0.7273,0.8761,0.3961,0.9282,0.0,5.3114,0.7005,0,0,0,0
ACC01568,spambot_3,spambot3,1,313,1998,13002,11,11776,1392,9.3405,0.1566,0.6733,0.5176,0.6579,0.355,0.2344,0.4599,0.4602,0.0178,0.5263,0.3,3.5651,0.4442,1,0,0,0
ACC01569,spambot_1,spambot1,1,21,68,870,3,51,750,1.16,0.3043,0.8231,0.8702,0.9752,0.9377,0.723,0.6952,0.9201,0.0553,0.6761,0.3,4.4214,0.652,1,0,0,0
ACC01570,genuine,genuine,0,319,450,689,16,5792,2493,0.2764,0.7073,0.3133,0.4506,0.2864,0.2787,0.0811,0.206,0.122,0.3937,0.1752,0.55,3.4499,0.1086,1,0,1,0
ACC01571,genuine,genuine,0,1975,159,20948,70,1866,2488,8.4196,12.3438,0.1862,0.2241,0.2976,0.68,0.1245,0.475,0.3931,0.1824,0.2388,0.3,3.1892,0.0794,1,0,0,0
ACC01572,genuine,genuine,0,3869,196,34723,46,2072,2248,15.4462,19.6396,0.0856,0.2761,0.321,0.2638,0.1773,0.7527,0.1833,0.0976,0.2833,0.75,2.6239,0.3333,1,1,1,0
ACC01573,genuine,genuine,0,871,504,4220,3,614,1753,2.4073,1.7248,0.2701,0.2957,0.4221,0.0957,0.4009,0.1775,0.1841,0.2475,0.3383,0.5,3.2522,0.1377,1,1,0,0
ACC01574,genuine,genuine,0,4733,253,13095,158,1204,2500,5.238,18.6339,0.3642,0.4914,0.3201,0.3469,0.0743,0.3391,0.1274,0.0408,0.572,0.3,3.0042,0.1214,1,0,0,0
ACC01575,genuine,genuine,0,1236,715,36390,46,634,2359,15.426,1.7263,0.2659,0.1501,0.0761,0.1934,0.4124,0.3289,0.1342,0.2134,0.2898,0.3,2.4836,0.1502,1,0,0,0
ACC01576,genuine,genuine,0,9269,664,2335,10,2405,1674,1.3949,13.9383,0.5276,0.0931,0.2924,0.4661,0.1171,0.442,0.2854,0.2178,0.2308,0.0,2.9765,0.0076,0,0,0,0
ACC01577,spambot_3,spambot3,1,126,64,3147,24,5188,2048,1.5366,1.9385,0.4798,0.5321,0.7184,0.4749,0.8288,0.2152,0.4431,0.0112,0.4222,0.5,3.3144,0.4966,1,1,0,0
ACC01578,spambot_3,spambot3,1,354,338,7986,3,11988,2439,3.2743,1.0442,0.61,0.1951,0.6345,0.5405,0.6988,0.2902,0.2409,0.0355,0.634,0.5,2.794,0.7706,1,1,0,0
ACC01579,genuine,genuine,0,827,1307,24876,12,13206,1823,13.6456,0.6323,0.3304,0.3712,0.4729,0.1967,0.3095,0.4038,0.1364,0.0135,0.1444,0.3,3.1144,0.0659,1,0,0,0
ACC01580,spambot_1,spambot1,1,57,128,24226,0,449,1276,18.9859,0.4419,0.6373,0.8314,0.9075,0.9427,0.488,0.5852,0.7373,0.0176,0.7176,0.3,4.5146,0.5945,1,0,0,0
ACC01581,genuine,genuine,0,6345,70,8351,149,6304,3129,2.6689,89.3662,0.1313,0.212,0.1811,0.3891,0.2206,0.2242,0.1831,0.5293,0.1829,0.5,2.6021,0.0657,1,1,0,0
ACC01582,spambot_1,spambot1,1,89,28,1910,0,34,1302,1.467,3.069,0.82,0.7141,0.9247,0.4163,0.7316,0.3834,0.6927,0.0185,0.7118,0.3,4.4147,0.6952,1,0,0,0
ACC01583,spambot_1,spambot1,1,75,54,45858,2,33,1498,30.6128,1.3636,0.8421,0.6639,0.9257,0.8926,0.7961,0.82,0.9143,0.0323,0.7483,0.3,4.5401,0.8066,1,0,0,0
ACC01584,spambot_2,spambot2,1,42,1214,2764,2,265,1344,2.0565,0.0346,0.5651,0.5891,0.9077,0.4778,0.5356,0.7221,0.6474,0.1064,0.9699,0.3,3.5856,0.7557,1,0,0,0
ACC01585,genuine,genuine,0,38,565,44619,35,377,2943,15.1611,0.0671,0.2801,0.41,0.2528,0.5437,0.4845,0.0826,0.0734,0.1128,0.1224,0.5,3.239,0.0862,1,1,0,0
ACC01586,genuine,genuine,0,3592,33,1949,77,3289,1670,1.1671,105.6471,0.0331,0.3185,0.2787,0.5141,0.2142,0.1826,0.2328,0.6491,0.1396,0.55,3.1402,0.0516,1,0,1,0
ACC01587,spambot_3,spambot3,1,2113,1403,1581,12,947,2561,0.6173,1.505,0.3784,0.6068,0.5633,0.3205,0.4134,0.6537,0.3928,0.0237,0.4469,0.5,2.7731,0.7372,1,1,0,0
ACC01588,genuine,genuine,0,6153,78,8837,35,967,2317,3.814,77.8861,0.1557,0.3679,0.3048,0.4385,0.1146,0.0319,0.3584,0.492,0.5765,0.3,3.5758,0.0232,1,0,0,0
ACC01589,genuine,genuine,0,1999,137,3697,68,5880,1919,1.9265,14.4855,0.0292,0.1847,0.3012,0.0945,0.2257,0.4827,0.1142,1.1863,0.2538,0.5,3.4485,0.086,1,1,0,0
ACC01590,genuine,genuine,0,219,353,33236,34,3233,1191,27.906,0.6186,0.3122,0.1891,0.1397,0.2406,0.6214,0.1134,0.0482,0.1312,0.3328,0.75,3.3806,0.0172,1,1,1,0
ACC01591,genuine,genuine,0,3371,512,2689,292,5985,1551,1.7337,6.5712,0.3293,0.6992,0.4074,0.58,0.3862,0.3955,0.2045,0.1501,0.7909,0.5,3.1293,0.2005,1,1,0,0
ACC01592,spambot_1,spambot1,1,28,255,4168,0,7,843,4.9442,0.1094,0.7731,0.9229,0.7804,0.7479,0.95,0.7426,0.7401,0.0048,0.5607,0.0,4.9065,0.8238,0,0,0,0
ACC01593,spambot_3,spambot3,1,339,2083,3037,6,457,2014,1.5079,0.1627,0.5806,0.6684,0.5035,0.4326,0.84,0.6004,0.5106,0.045,0.5807,0.55,4.4478,0.4259,1,0,1,0
ACC01594,genuine,genuine,0,215,834,3337,11,2055,2740,1.2179,0.2575,0.4075,0.1122,0.4515,0.1852,0.0972,0.1847,0.1719,0.1725,0.5713,0.5,3.0481,0.1316,1,1,0,0
ACC01595,genuine,genuine,0,1608,462,2837,62,939,1046,2.7122,3.473,0.4552,0.1274,0.1656,0.0519,0.187,0.4222,0.1988,0.2218,0.549,0.3,2.8821,0.2998,1,0,0,0
ACC01596,spambot_1,spambot1,1,13,5,8738,0,13,1560,5.6013,2.1667,0.8228,0.5969,0.9272,0.693,0.8693,0.8389,0.8637,0.0379,0.9737,0.3,4.3316,0.7347,1,0,0,0
ACC01597,genuine,genuine,0,285,590,5600,43,7900,2587,2.1647,0.4822,0.2683,0.3364,0.1044,0.0393,0.1461,0.3938,0.4705,0.1451,0.4566,0.3,2.6796,0.0495,1,0,0,0
ACC01598,genuine,genuine,0,4509,1462,6925,4,7980,2334,2.967,3.082,0.167,0.4818,0.1117,0.628,0.1335,0.0824,0.0367,0.0232,0.282,0.5,3.7007,0.0094,1,1,0,0
ACC01599,spambot_3,spambot3,1,1013,1461,743,8,2130,1948,0.3814,0.6929,0.4299,0.5857,0.5611,0.6333,0.3359,0.2402,0.8335,0.0107,0.4849,0.55,3.7485,0.5038,1,0,1,0
ACC01600,genuine,genuine,0,917,414,6350,38,12925,2295,2.7669,2.2096,0.4,0.0626,0.5459,0.4663,0.1577,0.4243,0.3388,0.1309,0.2509,0.5,2.9176,0.0133,1,1,0,0
ACC01601,spambot_1,spambot1,1,10,71,824,0,16,1529,0.5389,0.1389,0.7141,0.5162,0.7025,0.9451,0.5041,0.6711,0.8491,0.0753,0.6734,0.0,4.7443,0.862,0,0,0,0
ACC01602,genuine,genuine,0,488,246,37995,53,18447,2244,16.9318,1.9757,0.1845,0.4651,0.2402,0.2323,0.0612,0.1762,0.0219,0.1989,0.0365,0.75,2.2861,0.1075,1,1,1,0
ACC01603,genuine,genuine,0,3938,157,25266,24,3117,2511,10.0621,24.9241,0.2453,0.1824,0.1961,0.2676,0.3521,0.1195,0.3089,0.9056,0.6396,0.25,3.2627,0.053,0,0,1,0
ACC01604,genuine,genuine,0,324,402,12312,31,2297,2887,4.2646,0.804,0.1894,0.441,0.3018,0.2443,0.1487,0.1412,0.4421,0.0987,0.4515,0.5,2.9296,0.197,1,1,0,0
ACC01605,spambot_1,spambot1,1,22,154,13206,2,15,783,16.8659,0.1419,0.6248,0.8714,0.9564,0.6988,0.8089,0.3361,0.8078,0.0141,0.6589,0.0,3.9318,0.7723,0,0,0,0
ACC01606,genuine,genuine,0,977,6868,4148,14,3936,2807,1.4777,0.1422,0.3613,0.2694,0.1311,0.1707,0.3159,0.2303,0.0508,4.1889,0.1697,0.5,3.3547,0.0419,1,1,0,0
ACC01607,genuine,genuine,0,216,1426,11595,24,7255,4014,2.8886,0.1514,0.248,0.3663,0.1609,0.2899,0.2227,0.1107,0.0168,0.3647,0.0512,0.5,3.4602,0.0703,1,1,0,0
ACC01608,genuine,genuine,0,1374,426,5053,177,204,3003,1.6827,3.2178,0.0863,0.5638,0.3096,0.6476,0.1806,0.3188,0.2051,0.069,0.1646,0.5,2.9753,0.0217,1,1,0,0
ACC01609,spambot_3,spambot3,1,1744,2558,5866,2,1822,1886,3.1103,0.6815,0.164,0.2567,0.4548,0.761,0.427,0.6357,0.871,0.0414,0.4871,0.55,4.761,0.3883,1,0,1,0
ACC01610,spambot_1,spambot1,1,1,17,4962,0,80,1249,3.9728,0.0556,0.6663,0.9089,0.8747,0.9131,0.7178,0.8616,0.727,0.024,0.749,0.0,4.183,0.9351,0,0,0,0
ACC01611,spambot_1,spambot1,1,46,21,2531,0,3,1046,2.4197,2.0909,0.7986,0.9098,0.6016,0.7559,0.6096,0.513,0.6492,0.0597,0.9341,0.3,5.0188,0.8794,1,0,0,0
ACC01612,spambot_1,spambot1,1,6,561,3748,0,4,1225,3.0596,0.0107,0.8166,0.6857,0.9696,0.9012,0.7739,0.7985,0.8034,0.0252,0.7377,0.0,4.2689,0.8316,0,0,0,0
ACC01613,genuine,genuine,0,1119,261,8111,22,1744,2422,3.3489,4.271,0.585,0.5096,0.3781,0.4788,0.329,0.1179,0.3142,0.2943,0.2461,0.5,3.2989,0.0292,1,1,0,0
ACC01614,spambot_1,spambot1,1,17,9,3747,1,23,1528,2.4522,1.7,0.8938,0.7194,0.9517,0.5267,0.7729,0.6239,0.7349,0.0537,0.7393,0.3,4.673,0.9168,1,0,0,0
ACC01615,genuine,genuine,0,4797,370,7885,32,315,3261,2.418,12.9299,0.5214,0.2891,0.2188,0.3475,0.0747,0.5276,0.2065,1.0289,0.2256,0.5,2.7295,0.0596,1,1,0,0
ACC01616,spambot_3,spambot3,1,62,103,17014,21,610,1305,13.0375,0.5962,0.5882,0.7283,0.3028,0.5024,0.5247,0.4549,0.19,0.0451,0.8441,0.3,2.914,0.5616,1,0,0,0
ACC01617,genuine,genuine,0,2045,200,1721,15,4849,1946,0.8844,10.1741,0.3602,0.4842,0.2368,0.4192,0.0622,0.1694,0.4933,0.1129,0.245,0.75,3.8489,0.1144,1,1,1,0
ACC01618,genuine,genuine,0,1080,2122,12729,61,11783,2278,5.5878,0.5087,0.1628,0.4433,0.0726,0.3469,0.0897,0.3903,0.0343,0.0419,0.2901,0.75,3.3255,0.0119,1,1,1,0
ACC01619,spambot_3,spambot3,1,197,963,5232,8,435,2020,2.5901,0.2044,0.4671,0.4247,0.7323,0.22,0.4466,0.2831,0.5233,0.0288,0.5557,0.75,3.25,0.71,1,1,1,0
ACC01620,genuine,genuine,0,231,1620,6184,198,2831,630,9.8159,0.1425,0.1548,0.1454,0.1126,0.5455,0.4411,0.4958,0.2434,0.2297,0.4462,0.3,2.6625,0.1468,1,0,0,0
ACC01621,spambot_3,spambot3,1,119,1014,25480,2,1338,2159,11.8018,0.1172,0.4984,0.4714,0.6829,0.3477,0.4244,0.8507,0.4445,0.0675,0.5857,0.3,3.4767,0.4318,1,0,0,0
ACC01622,genuine,genuine,0,1490,664,11583,354,428,2485,4.6612,2.2406,0.1605,0.2052,0.3631,0.3627,0.3503,0.1086,0.3143,0.5054,0.2797,0.75,3.3691,0.0063,1,1,1,0
ACC01623,spambot_3,spambot3,1,20173,2185,3247,31,6901,2790,1.1638,9.2283,0.5449,0.7108,0.591,0.6053,0.1685,0.087,0.8456,0.0352,0.1428,0.55,2.8199,0.5363,1,0,1,0
ACC01624,genuine,genuine,0,152,967,7707,43,6546,1912,4.0309,0.157,0.3076,0.2707,0.4157,0.2075,0.4391,0.3407,0.2372,0.0878,0.3668,0.45,2.5949,0.0621,0,1,1,0
ACC01625,spambot_1,spambot1,1,33,115,6871,0,9,1722,3.9901,0.2845,0.8876,0.6457,0.873,0.8009,0.9247,0.7783,0.6927,0.017,0.6342,0.3,3.7935,0.7573,1,0,0,0
ACC01626,spambot_1,spambot1,1,42,465,4684,0,27,1860,2.5183,0.0901,0.8716,0.865,0.6444,0.9637,0.9131,0.5714,0.8358,0.0049,0.9876,0.25,4.8102,0.7767,0,0,1,0
